Frame_ID,Time_Cost_ms,Smoothed_Score,CNN_Activated,Identity_Result,Lap_Var,Bright_Penalty
1,1126.9962787628174,11.251386442431029,True,mile,11.251386442431029,0.10103921772521218
2,954.601526260376,12.295099499079026,True,mile,12.295099499079026,0.10120407292872302
3,696.2602138519287,14.886621978652395,True,mile,14.886621978652395,0.10204162597656252
4,677.5832176208496,16.990730919283713,True,mile,16.990730919283713,0.10238341531635797
5,675.7333278656006,19.134491884507284,True,mile,19.134491884507284,0.10244787899064434
6,699.9058723449707,22.58402342914829,True,mile,22.58402342914829,0.10238902150848761
7,694.5285797119141,25.72273874716699,True,mile,25.72273874716699,0.10275409463011187
8,696.3279247283936,28.032677700481464,True,mile,28.032677700481464,0.10276471550081978
9,672.2724437713623,29.78923894780679,True,mile,29.78923894780679,0.10287249906563467
10,692.1689510345459,31.058922204859293,True,mile,31.058922204859293,0.10310198748553245
11,680.0110340118408,31.523967188915556,True,mile,31.523967188915556,0.10297384003062304
12,679.1296005249023,32.2352667942249,True,mile,32.2352667942249,0.10330111656659913
13,677.4411201477051,32.64115222053849,True,mile,32.64115222053849,0.10382013768325615
14,675.1894950866699,32.25292466813322,True,mile,32.25292466813322,0.10393977412471067
15,694.5927143096924,32.113628347545664,True,mile,32.113628347545664,0.10418359827112267
16,677.6604652404785,32.82488333971389,True,mile,32.82488333971389,0.10451293945312501
17,687.5677108764648,32.48885068603404,True,mile,32.48885068603404,0.10406253767602236
18,695.2269077301025,32.197739086893236,True,mile,32.197739086893236,0.1037193467881945
19,681.2276840209961,32.88116838058819,True,mile,32.88116838058819,0.10381778293185762
20,686.2642765045166,32.90552005460713,True,mile,32.90552005460713,0.10357421121479549
21,696.7179775238037,32.79307175183551,True,mile,32.79307175183551,0.10363202130353011
22,677.3581504821777,33.24820137381537,True,mile,33.24820137381537,0.10408668047116132
23,678.5609722137451,33.454419636044136,True,mile,33.454419636044136,0.10436087902681324
24,688.2400512695312,32.97298271654141,True,mile,32.97298271654141,0.10432649588879239
25,767.418622970581,33.206971481274685,True,mile,33.206971481274685,0.10446798442322536
26,673.5742092132568,32.95958071709215,True,mile,32.95958071709215,0.1045024542160976
27,685.4348182678223,32.99646674635675,True,mile,32.99646674635675,0.10435624487606099
28,687.5367164611816,32.61127851972057,True,mile,32.61127851972057,0.10434485541449656
29,693.5827732086182,33.243176136973794,True,mile,33.243176136973794,0.10429598207826962
30,678.492546081543,32.876848025818106,True,mile,32.876848025818106,0.10402371630256557
31,682.9838752746582,32.00790017779064,True,mile,32.00790017779064,0.10438073429060568
32,671.0860729217529,31.013311265893,True,mile,31.013311265893,0.10412016315224726
33,666.6035652160645,30.571601397843175,True,mile,30.571601397843175,0.10387585298514657
34,696.361780166626,29.887519341820166,True,mile,29.887519341820166,0.10368088710455248
35,682.3208332061768,29.72747048929864,True,mile,29.72747048929864,0.103180771815924
36,684.6754550933838,31.170823108319517,True,mile,31.170823108319517,0.10297543749397187
37,693.3603286743164,32.123248632079125,True,mile,32.123248632079125,0.10279317220052087
38,692.4667358398438,33.762663637062026,True,mile,33.762663637062026,0.10277006926359955
39,682.938814163208,35.020420472748356,True,mile,35.020420472748356,0.10244429600091631
40,674.9129295349121,36.24699660398083,True,mile,36.24699660398083,0.10224151611328125
