Frame_ID,Time_Cost_ms,Smoothed_Score,CNN_Activated,Identity_Result,Lap_Var,Bright_Penalty
1,699.6958255767822,11.251386442431029,True,mile,11.251386442431029,0.10103921772521218
2,796.3664531707764,12.295099499079026,True,mile,12.295099499079026,0.10120407292872302
3,726.9036769866943,14.886621978652395,True,mile,14.886621978652395,0.10204162597656252
4,707.6869010925293,16.990730919283713,True,mile,16.990730919283713,0.10238341531635797
5,745.9061145782471,19.134491884507284,True,mile,19.134491884507284,0.10244787899064434
6,708.1115245819092,22.58402342914829,True,mile,22.58402342914829,0.10238902150848761
7,715.6317234039307,25.72273874716699,True,mile,25.72273874716699,0.10275409463011187
8,777.5931358337402,28.032677700481464,True,mile,28.032677700481464,0.10276471550081978
9,781.5303802490234,29.78923894780679,True,mile,29.78923894780679,0.10287249906563467
10,755.5639743804932,31.058922204859293,True,mile,31.058922204859293,0.10310198748553245
11,775.6402492523193,31.523967188915556,True,mile,31.523967188915556,0.10297384003062304
12,759.6511840820312,32.2352667942249,True,mile,32.2352667942249,0.10330111656659913
13,772.9344367980957,32.64115222053849,True,mile,32.64115222053849,0.10382013768325615
14,777.5473594665527,32.25292466813322,True,mile,32.25292466813322,0.10393977412471067
15,723.7560749053955,32.113628347545664,True,mile,32.113628347545664,0.10418359827112267
16,758.4044933319092,32.82488333971389,True,mile,32.82488333971389,0.10451293945312501
17,747.41530418396,32.48885068603404,True,mile,32.48885068603404,0.10406253767602236
18,771.6579437255859,32.197739086893236,True,mile,32.197739086893236,0.1037193467881945
19,714.8087024688721,32.88116838058819,True,mile,32.88116838058819,0.10381778293185762
20,717.5896167755127,32.90552005460713,True,mile,32.90552005460713,0.10357421121479549
21,759.2339515686035,32.79307175183551,True,mile,32.79307175183551,0.10363202130353011
22,770.6866264343262,33.24820137381537,True,mile,33.24820137381537,0.10408668047116132
23,766.9827938079834,33.454419636044136,True,mile,33.454419636044136,0.10436087902681324
24,736.3150119781494,32.97298271654141,True,mile,32.97298271654141,0.10432649588879239
25,795.9575653076172,33.206971481274685,True,mile,33.206971481274685,0.10446798442322536
26,746.1130619049072,32.95958071709215,True,mile,32.95958071709215,0.1045024542160976
27,771.3413238525391,32.99646674635675,True,mile,32.99646674635675,0.10435624487606099
28,775.1951217651367,32.61127851972057,True,mile,32.61127851972057,0.10434485541449656
29,728.3303737640381,33.243176136973794,True,mile,33.243176136973794,0.10429598207826962
30,757.3413848876953,32.876848025818106,True,mile,32.876848025818106,0.10402371630256557
31,866.0922050476074,32.00790017779064,True,mile,32.00790017779064,0.10438073429060568
32,858.1364154815674,31.013311265893,True,mile,31.013311265893,0.10412016315224726
33,686.8495941162109,30.571601397843175,True,mile,30.571601397843175,0.10387585298514657
34,755.1562786102295,29.887519341820166,True,mile,29.887519341820166,0.10368088710455248
35,738.7199401855469,29.72747048929864,True,mile,29.72747048929864,0.103180771815924
36,706.6705226898193,31.170823108319517,True,mile,31.170823108319517,0.10297543749397187
37,739.302396774292,32.123248632079125,True,mile,32.123248632079125,0.10279317220052087
38,711.7307186126709,33.762663637062026,True,mile,33.762663637062026,0.10277006926359955
39,711.4162445068359,35.020420472748356,True,mile,35.020420472748356,0.10244429600091631
40,720.6313610076904,36.24699660398083,True,mile,36.24699660398083,0.10224151611328125
41,754.9574375152588,37.019577531668176,True,mile,37.019577531668176,0.1021459132065008
42,813.90380859375,38.272082772930354,True,mile,38.272082772930354,0.1022760574905961
43,761.8145942687988,37.90656527468155,True,mile,37.90656527468155,0.10228924409842788
44,749.0792274475098,37.5773353815133,True,mile,37.5773353815133,0.10219029556086034
45,762.5069618225098,37.000457728180685,True,mile,37.000457728180685,0.10207828097873262
46,708.7044715881348,35.964381348596014,True,mile,35.964381348596014,0.10197759180893129
47,791.4772033691406,34.93525047145202,True,mile,34.93525047145202,0.10132172761140046
48,770.9305286407471,34.200757586904864,True,mile,34.200757586904864,0.10126197343991128
49,753.5793781280518,33.158628679974605,True,mile,33.158628679974605,0.10097061722366896
50,791.5458679199219,32.60266432659408,True,mile,32.60266432659408,0.10103661431206601
51,750.2641677856445,32.856641401614496,True,mile,32.856641401614496,0.10109414936583716
52,841.3667678833008,33.34363062163711,True,mile,33.34363062163711,0.10114033640166864
53,954.5440673828125,34.127355713232596,True,mile,34.127355713232596,0.10109206588179975
54,778.2464027404785,34.37094870284562,True,mile,34.37094870284562,0.10114813533830058
55,1033.7927341461182,33.963940600699054,True,mile,33.963940600699054,0.1012014770507812
56,934.1778755187988,32.83566783306199,True,mile,32.83566783306199,0.10114185474537041
57,805.9847354888916,31.53713942331094,True,mile,31.53713942331094,0.10104391215760034
58,777.2517204284668,30.406700017739592,True,mile,30.406700017739592,0.10071756621937689
59,783.5953235626221,30.01701321173624,True,mile,30.01701321173624,0.10047678252797065
60,758.5690021514893,30.106574063825406,True,mile,30.106574063825406,0.10028796160662612
61,766.913652420044,30.139031123648902,True,mile,30.139031123648902,0.10061133867428629
62,1003.6444664001465,30.327303317212788,True,mile,30.327303317212788,0.10033180142626352
63,784.4493389129639,30.58874308292975,True,mile,30.58874308292975,0.10013737054518712
64,758.1393718719482,31.250478448779187,True,mile,31.250478448779187,0.10007639943817515
65,785.64453125,31.276270961650987,True,mile,31.276270961650987,0.10017714512201004
66,779.9744606018066,31.501692245269716,True,mile,31.501692245269716,0.10064346125096446
67,798.8133430480957,31.51436400561363,True,mile,31.51436400561363,0.10099921332465278
68,788.0589962005615,31.818400839957576,True,mile,31.818400839957576,0.10118096622419948
69,724.2324352264404,31.458977531480322,True,mile,31.458977531480322,0.10155033817997683
70,854.0782928466797,31.739868462807912,True,mile,31.739868462807912,0.10199070306471836
71,766.7505741119385,31.86778641326946,True,mile,31.86778641326946,0.10259943455825615
72,745.5487251281738,31.894910106018653,True,mile,31.894910106018653,0.10317179361979167
73,780.3194522857666,31.339858205603793,True,mile,31.339858205603793,0.10369397575472605
